pseudogene_id	chrom	start	end	strand	parent_protein	frameshifts	insertions	deletions	stop_codons	exon_count	coverage	identity	evalue
PG744	CP002684.1	13434789	13435076	-	AEE75606.1	2	5	6	1	1	0.24	0.67	4.2e-28
PG745	CP002684.1	13436830	13437165	+	ANM69555.1	0	0	11	1	1	0.64	0.66	1e-48
PG746	CP002684.1	13441014	13441829	+	AEE82509.1	2	7	12	2	2	0.38	0.44	1.1e-11
PG747	CP002684.1	13443586	13445001	+	ANM66829.1	0	0	5	1	1	0.46	0.38	3.6e-84
PG748	CP002684.1	13448921	13449310	+	ANM63933.1	2	3	33	1	1	0.67	0.41	8.7e-16
PG749	CP002684.1	13472122	13472508	-	AEE79761.1	0	1	2	1	1	0.38	0.38	2.8e-21
PG750	CP002684.1	13473299	13473484	-	AED93902.1	0	0	1	2	1	0.12	0.55	9e-21
PG752	CP002684.1	13481293	13481400	-	AEE34919.1	0	0	0	0	1	0.13	0.65	1.5e-15
PG753	CP002684.1	13483758	13484468	+	ANM58816.1	0	9	16	0	1	0.39	0.27	2e-19
PG754	CP002684.1	13487996	13489133	-	ANM60795.1	0	4	13	0	2	0.53	0.30	1.9e-33
PG755	CP002684.1	13490829	13491365	-	AEE76605.1	4	10	3	3	1	0.23	0.37	2.6e-16
PG758	CP002684.1	13498288	13498532	-	AEE78827.1	1	1	1	1	1	0.25	0.50	9.8e-27
PG759	CP002684.1	13499315	13500963	+	ANM60795.1	0	5	8	1	2	0.70	0.26	4.3e-31
PG760	CP002684.1	13504280	13504777	-	ANM66829.1	0	0	4	1	1	0.16	0.45	1.6e-37
PG761	CP002684.1	13505144	13505470	-	AEE76450.1	0	1	7	0	1	0.28	0.30	2.3e-14
PG762	CP002684.1	13516331	13516537	-	AEC06002.1	0	0	0	0	1	0.59	0.81	6.6e-33
PG763	CP002684.1	13518245	13518522	-	ANM62518.1	1	1	0	1	1	0.24	0.35	6.1e-15
PG764	CP002684.1	13524418	13524498	+	AEC06084.1	0	0	0	1	1	0.10	0.64	8.9e-11
PG767	CP002684.1	13526536	13526877	-	AEE32871.1	0	0	1	1	1	0.20	0.28	0.058
PG768	CP002684.1	13560280	13560942	+	AEE31669.1	0	27	1	0	1	0.63	0.21	0.018
PG769	CP002684.1	13562869	13564448	+	ANM66829.1	1	1	0	1	1	0.51	0.61	5.4e-174
PG770	CP002684.1	13572397	13572502	-	AEE31881.1	1	3	0	0	1	0.15	0.72	4.4e-13
PG771	CP002684.1	13581288	13581464	+	AEE77613.1	0	0	0	1	1	0.13	0.60	1.8e-16
PG772	CP002684.1	13592718	13592801	-	AEE36059.2	0	0	0	2	1	0.16	0.69	3.5e-09
PG773	CP002684.1	13593105	13598703	+	AEC06002.1	2	2	0	0	2	0.50	0.72	2.3e-24
PG774	CP002684.1	13601172	13601338	-	AED93692.1	1	1	3	0	1	0.13	0.72	4.8e-20
PG775	CP002684.1	13606775	13607686	+	ANM65971.1	2	28	4	3	1	0.36	0.27	6.8e-13
PG776	CP002684.1	13617782	13633361	+	AEE82110.1	7	10	10	4	3	0.98	0.54	5.6e-46
PG777	CP002684.1	13635875	13635979	-	AEE84529.1	0	0	0	0	1	0.27	0.78	2.4e-16
PG779	CP002684.1	13639177	13639379	-	AEC06232.1	1	1	3	1	1	0.39	0.62	1.2e-19
PG780	CP002684.1	13644298	13644552	-	AEE31993.1	0	0	0	0	1	0.14	0.38	5e-19
PG781	CP002684.1	13644614	13644691	+	AEE77700.1	0	0	0	1	1	0.16	0.78	5.1e-14
PG782	CP002684.1	13645006	13653072	-	AEE31913.1	0	2	0	0	4	0.10	0.75	8.1e-12
PG783	CP002684.1	13655867	13656411	+	AEC08794.2	1	1	4	3	1	0.99	0.85	1.8e-75
PG784	CP002684.1	13656846	13657220	+	AEC06043.1	0	0	16	1	1	0.16	0.51	4.6e-24
PG785	CP002684.1	13675324	13675488	-	AED94042.1	0	0	0	1	1	0.36	0.64	1.9e-20
PG786	CP002684.1	13689572	13690381	+	AEE77721.1	0	51	7	2	1	0.83	0.44	3.2e-38
PG787	CP002684.1	13691111	13692121	+	AEE31993.1	0	2	13	1	1	0.56	0.26	9.8e-24
PG788	CP002684.1	13692202	13692549	+	AEE84338.1	0	5	0	0	1	0.30	0.38	2.2e-22
PG789	CP002684.1	13693036	13694679	+	AEE85585.1	0	3	10	1	1	0.97	0.31	1.4e-42
PG790	CP002684.1	13694922	13695223	+	ANM63968.1	1	18	9	0	1	0.33	0.66	1.3e-26
PG791	CP002684.1	13710597	13710712	+	AEE75554.1	1	1	0	1	1	0.17	0.80	9.6e-15
PG792	CP002684.1	13711202	13711482	+	AEE31908.1	1	1	0	0	1	0.22	0.78	2.6e-30
PG794	CP002684.1	13712362	13712442	-	AEE77700.1	0	0	0	1	1	0.17	0.75	6.3e-13
PG795	CP002684.1	13712541	13713131	+	AEC06007.1	0	0	3	3	1	0.80	0.81	4.6e-81
PG796	CP002684.1	13715011	13715463	-	ANM65971.1	0	0	4	2	1	0.20	0.26	9.2e-21
PG797	CP002684.1	13717710	13717835	+	AEC06002.1	0	0	1	0	1	0.37	0.75	1.4e-14
PG798	CP002684.1	13725932	13726057	+	AEC06007.1	0	0	0	0	1	0.17	0.60	1.7e-19
PG799	CP002684.1	13728617	13729618	-	AEE34480.2	2	10	3	1	2	0.96	0.58	1.6e-36
PG800	CP002684.1	13730216	13731417	+	AEC06258.1	4	9	3	3	2	0.96	0.57	1.7e-49
PG801	CP002684.1	13732011	13732223	-	ANM63199.1	3	3	0	0	1	0.99	0.80	7e-30
PG802	CP002684.1	13751570	13751815	+	AEE32871.1	0	0	0	1	1	0.14	0.31	0.016
PG803	CP002684.1	13764788	13765444	+	ANM64841.1	2	2	0	1	3	0.91	0.79	7.6e-34
PG804	CP002684.1	13768416	13768544	+	AEE77818.1	0	0	0	2	1	0.29	0.68	6.8e-18
PG805	CP002684.1	13776560	13776835	+	AEE31908.1	0	0	0	1	1	0.22	0.85	1.2e-38
PG807	CP002684.1	13778957	13779442	+	AEC06399.1	0	1	11	2	1	0.18	0.25	1e-05
PG808	CP002684.1	13780932	13785451	-	AEC06002.1	0	0	0	1	2	0.59	0.77	2e-31
PG809	CP002684.1	13788412	13795137	-	AEE77700.1	0	0	0	4	2	0.17	0.71	1.5e-12
PG810	CP002684.1	13796556	13796636	+	AEE77700.1	0	0	0	1	1	0.17	0.79	7.9e-14
PG811	CP002684.1	13796787	13797250	-	AEE31913.1	0	2	0	0	2	0.10	0.71	1.2e-11
PG813	CP002684.1	13797840	13798112	-	AEE31908.1	0	0	0	0	1	0.21	0.87	3.8e-39
PG814	CP002684.1	13802606	13802944	+	AEE32871.1	0	1	4	1	1	0.20	0.27	0.0064
PG815	CP002684.1	13806169	13806654	+	AED93835.1	0	2	5	0	1	0.49	0.41	4.9e-33
PG816	CP002684.1	13811711	13811875	-	AEE31474.1	0	0	0	2	1	0.13	0.50	8.4e-12
PG817	CP002684.1	13814621	13814701	-	AEE27952.1	0	0	0	3	1	0.11	0.64	1.6e-09
PG818	CP002684.1	13820137	13820493	+	AEE77604.1	0	3	5	0	1	0.29	0.30	4.7e-12
PG819	CP002684.1	13824945	13825199	-	AEE74950.1	0	3	6	1	1	0.29	0.32	2.5e-10
PG820	CP002684.1	13825755	13827399	-	AEE32009.1	1	4	1	1	4	1.00	0.80	3e-46
PG821	CP002684.1	13832175	13832849	-	ANM66829.1	0	0	5	0	1	0.22	0.50	2.6e-59
PG822	CP002684.1	13834965	13835498	-	AEE30081.1	0	0	2	0	1	0.76	0.37	4.3e-35
PG823	CP002684.1	13838660	13839095	-	AEE31869.1	0	0	3	0	2	0.97	0.88	1.6e-19
PG824	CP002684.1	13851257	13851708	-	ANM63061.1	0	0	0	0	3	0.52	0.82	6.3e-10
PG825	CP002684.1	13854532	13855665	-	AEE85585.1	2	6	8	5	1	0.66	0.30	1.1e-36
PG828	CP002684.1	13861468	13865032	-	AEE86890.1	5	7	7	5	3	0.67	0.38	4.5e-42
PG829	CP002684.1	13874349	13875164	-	ANM65971.1	0	8	4	2	1	0.34	0.24	1.4e-33
PG830	CP002684.1	13877993	13878553	-	AEE82356.1	4	4	10	1	1	0.38	0.79	2.3e-76
PG831	CP002684.1	13880511	13881536	+	AEE28756.1	4	4	13	1	3	0.61	0.71	1.9e-55
PG832	CP002684.1	13882917	13883069	-	AEE33221.1	0	0	0	2	1	0.21	0.69	2.8e-19
PG833	CP002684.1	13891520	13891996	-	AEE30767.1	1	1	0	2	2	0.28	0.77	1.5e-11
PG834	CP002684.1	13895205	13895389	+	AEE28757.1	1	1	0	1	1	0.33	0.78	1.5e-25
PG835	CP002684.1	13898045	13898104	+	AEC06067.1	0	0	0	0	1	0.19	0.91	1.5e-12
PG837	CP002684.1	13906818	13906958	+	AEE31881.1	0	3	0	2	1	0.19	0.56	1.5e-12
PG838	CP002684.1	13908687	13909792	-	AEE85585.1	2	9	11	5	2	0.67	0.32	2e-24
PG839	CP002684.1	13912315	13919383	-	AED95200.1	3	4	5	0	2	0.80	0.49	9.7e-18
PG840	CP002684.1	13920173	13920716	+	AEE77767.1	1	1	0	1	2	0.15	0.75	1.4e-25
PG841	CP002684.1	13920782	13920859	+	AEE77700.1	0	0	0	1	1	0.16	0.81	4.6e-14
PG842	CP002684.1	13921209	13921314	+	AEC06017.1	1	1	0	0	1	0.13	0.94	8.6e-19
PG843	CP002684.1	13921293	13921552	-	AEE31908.1	1	1	0	1	1	0.20	0.82	2.2e-32
PG845	CP002684.1	13939458	13939652	+	AEC06002.1	0	0	0	2	1	0.56	0.59	6.5e-24
PG846	CP002684.1	13950325	13950537	-	AEE33796.1	0	1	4	0	1	0.40	0.41	3e-11
PG847	CP002684.1	13951118	13951594	+	AEE29968.1	0	1	0	1	1	0.17	0.24	7.2e-14
PG848	CP002684.1	13957273	13958669	+	ANM66829.1	1	11	5	1	1	0.44	0.36	1e-68
PG849	CP002684.1	13961971	13963632	-	AEE86890.1	2	5	13	4	1	0.72	0.37	1.5e-91
PG850	CP002684.1	13967965	13969399	-	ANM65689.1	2	4	7	5	1	0.91	0.49	3.7e-122
PG851	CP002684.1	13970049	13970882	-	AEE31993.1	0	3	0	2	1	0.44	0.28	8.4e-33
PG852	CP002684.1	13972206	13972965	-	AEE82675.1	1	5	0	1	2	0.37	0.89	3e-39
PG853	CP002684.1	13974345	13974564	-	ANM62924.1	2	2	0	1	1	0.63	0.52	1.3e-18
PG854	CP002684.1	13978300	13978980	-	AEC05391.1	0	10	0	4	1	0.42	0.22	0.00042
PG855	CP002684.1	13992547	13993447	-	ANM66829.1	2	7	1	6	2	0.25	0.31	1.5e-18
PG856	CP002684.1	13996086	13996172	+	AEC06151.1	0	0	0	0	1	0.19	0.70	4.1e-09
PG857	CP002684.1	14014238	14014389	-	AEE81820.1	1	1	0	0	1	0.28	0.94	6.5e-27
PG858	CP002684.1	14020077	14020484	+	AEE77747.1	0	1	1	0	1	0.17	0.30	5.9e-14
PG859	CP002684.1	14020998	14021276	+	AEE77604.1	0	5	5	0	1	0.22	0.36	1.3e-14
PG860	CP002684.1	14030815	14031674	-	AEC07696.1	2	2	9	1	2	0.14	0.78	3.2e-22
PG861	CP002684.1	14032654	14033318	-	AEE29411.1	1	1	0	4	1	0.30	0.50	4.8e-49
PG862	CP002684.1	14038439	14038904	-	AEE77683.1	2	2	0	1	2	0.67	0.83	1.5e-40
PG864	CP002684.1	14041712	14041982	-	AEE76950.1	0	0	0	4	2	0.42	0.80	4.9e-17
PG866	CP002684.1	14046432	14046731	+	AED95269.1	0	0	0	1	1	0.11	0.58	2.9e-29
PG867	CP002684.1	14050735	14051259	+	AEC06236.1	0	1	2	2	1	0.52	0.27	5.5e-20
PG868	CP002684.1	14052821	14053795	+	AEE31993.1	2	7	15	6	1	0.54	0.26	3.3e-24
PG869	CP002684.1	14054269	14054592	+	ANM65689.1	0	1	0	0	1	0.20	0.26	2.3e-10
PG870	CP002684.1	14054895	14056300	+	AEE74775.1	4	4	11	4	1	0.99	0.42	7.8e-106
PG871	CP002684.1	14057434	14057813	-	ANM65971.1	1	3	6	9	1	0.17	0.32	7.3e-18
PG873	CP002684.1	14060455	14060535	-	AEE77700.1	0	0	0	1	1	0.17	0.79	1.3e-14
PG874	CP002684.1	14062098	14062310	-	AEE77670.1	0	19	0	1	1	0.31	0.58	1.1e-14
PG875	CP002684.1	14064682	14065577	-	AEC06258.1	0	0	0	3	2	0.67	0.51	9.4e-33
PG876	CP002684.1	14066770	14067193	-	AEE78318.1	1	6	20	3	1	0.52	0.43	3.1e-17
PG877	CP002684.1	14069866	14070813	+	AEE77728.1	0	1	3	0	1	0.46	0.30	1.7e-44
PG878	CP002684.1	14074363	14074518	+	ANM66964.1	0	0	3	0	1	0.46	0.52	1.3e-10
PG879	CP002684.1	14082148	14082525	+	AEE31908.1	0	0	0	0	1	0.30	0.30	7.9e-23
PG880	CP002684.1	14094171	14094922	+	AEE31993.1	1	1	0	1	1	0.40	0.32	1.1e-37
PG881	CP002684.1	14095972	14096250	-	AEE77728.1	0	5	2	0	1	0.13	0.34	7.6e-17
PG882	CP002684.1	14096948	14097789	+	ANM65689.1	1	2	12	1	2	0.92	0.49	5.2e-42
PG883	CP002684.1	14099823	14107350	-	AEE31874.1	6	14	26	7	2	0.98	0.62	4.2e-24
PG884	CP002684.1	14109484	14110411	-	AEC06258.1	3	3	3	2	2	0.70	0.49	7.7e-29
PG885	CP002684.1	14111404	14112075	-	AEE78318.1	0	8	0	3	1	0.72	0.40	2e-37
PG887	CP002684.1	14121591	14121671	+	AEE77700.1	0	0	0	0	1	0.17	0.86	7.3e-16
PG889	CP002684.1	14130390	14131823	-	ANM66829.1	0	11	7	0	1	0.45	0.34	2.8e-74
PG890	CP002684.1	14133177	14133584	-	AEE76453.1	0	2	0	0	1	0.33	0.27	5.1e-13
PG891	CP002684.1	14142602	14142742	-	AED97624.1	0	0	0	2	1	0.10	0.65	2.9e-15
PG892	CP002684.1	14143852	14145049	-	ANM65689.1	9	12	1	5	1	0.75	0.40	2.7e-59
PG893	CP002684.1	14151274	14151569	-	AEE74775.1	1	1	4	3	1	0.21	0.30	7.7e-14
PG894	CP002684.1	14169506	14169589	+	AEE77509.1	0	0	0	0	1	0.11	0.72	1.1e-13
PG895	CP002684.1	14178129	14178206	+	AEE77700.1	0	0	0	1	1	0.16	0.74	5.8e-14
PG897	CP002684.1	14179326	14183850	-	AEE31908.1	1	1	0	0	2	0.22	0.83	3.3e-31
PG898	CP002684.1	14189625	14191214	+	ANM65971.1	0	28	16	4	1	0.67	0.25	3.7e-47
PG899	CP002684.1	14193766	14194347	-	ANM70864.1	2	25	0	2	1	0.96	0.37	2.5e-20
PG900	CP002684.1	14198093	14198386	+	AEE29968.1	0	0	0	0	1	0.10	0.28	2.5e-10
PG901	CP002684.1	14202511	14202900	-	AEE30476.1	0	1	3	0	1	0.37	0.32	2e-13
PG902	CP002684.1	14205538	14205786	-	ANM70864.1	0	1	0	0	1	0.46	0.43	1.3e-19
PG903	CP002684.1	14207200	14212693	+	AEC06002.1	1	1	0	0	2	0.50	0.74	9.6e-24
PG904	CP002684.1	14215962	14225358	-	AEE31874.1	2	6	0	5	2	0.59	0.68	2.1e-24
PG905	CP002684.1	14226355	14226691	-	AEE31889.1	1	4	0	2	1	0.18	0.33	1.6e-16
PG906	CP002684.1	14226855	14227040	+	AEE31908.1	0	0	0	1	1	0.15	0.78	1.4e-23
PG908	CP002684.1	14246698	14246970	+	AEE31908.1	0	0	0	2	1	0.21	0.72	8.3e-26
PG909	CP002684.1	14248197	14248277	-	AEE77700.1	0	0	0	1	1	0.17	0.75	1.3e-14
PG910	CP002684.1	14260860	14261730	+	AEE77700.1	0	0	0	2	2	0.17	0.77	1.1e-14
PG912	CP002684.1	14264603	14281669	-	AEE31874.1	2	2	27	4	3	0.98	0.67	9.7e-25
PG913	CP002684.1	14282593	14286875	-	AEE78043.1	4	5	0	1	2	0.14	0.89	3.9e-26
PG916	CP002684.1	14315285	14315596	+	AEE31908.1	0	16	0	1	1	0.21	0.67	2e-18
PG918	CP002684.1	14319808	14320020	-	AEE77769.1	0	0	0	3	1	0.42	0.78	3.2e-30
PG919	CP002684.1	14333187	14333534	-	AEC06461.1	2	7	0	3	1	0.29	0.43	4.2e-18
PG920	CP002684.1	14334961	14335080	-	AEE77769.1	0	0	3	1	1	0.25	0.66	1.2e-15
PG921	CP002684.1	14339781	14340055	+	AEE31908.1	1	1	0	0	1	0.22	0.81	4.6e-33
PG923	CP002684.1	14341157	14341231	-	AEE77700.1	0	0	0	1	1	0.16	0.81	1.6e-14
PG924	CP002684.1	14341972	14349061	+	AEE31874.1	1	2	0	5	2	0.47	0.69	3.6e-17
PG926	CP002684.1	14362050	14362221	-	AEC06002.1	1	1	0	0	1	0.49	0.72	1.5e-24
PG927	CP002684.1	14362314	14364154	-	AEE31902.1	1	26	2	7	6	0.89	0.64	2.2e-17
PG928	CP002684.1	14364516	14374274	+	AEE31874.1	1	5	0	5	2	0.65	0.69	5e-24
PG929	CP002684.1	14375119	14375223	+	AEE77818.1	0	0	0	1	1	0.23	0.75	2.8e-17
PG930	CP002684.1	14379947	14383548	+	AEE77700.1	0	0	0	1	2	0.16	0.85	3.1e-15
PG933	CP002684.1	14384478	14384552	-	AEE77700.1	0	0	0	1	1	0.16	0.81	1.9e-12
PG934	CP002684.1	14385293	14394714	+	AEE31874.1	1	2	0	5	2	0.47	0.69	2.1e-18
PG936	CP002684.1	14407703	14407874	-	AEC06002.1	1	1	0	0	1	0.49	0.72	2e-25
PG937	CP002684.1	14407967	14409807	-	AEE31902.1	1	26	2	7	6	0.89	0.64	8.8e-18
PG938	CP002684.1	14410169	14419927	+	AEE31874.1	1	5	0	5	2	0.65	0.69	4.8e-26
PG939	CP002684.1	14420772	14420876	+	AEE77818.1	0	0	0	1	1	0.23	0.75	4.1e-16
PG940	CP002684.1	14425600	14429201	+	AEE77700.1	0	0	0	1	2	0.16	0.85	1e-15
PG941	CP002684.1	14429351	14429814	-	AEE31913.1	0	2	0	0	2	0.10	0.68	2.8e-11
PG942	CP002684.1	14430411	14430647	-	AEE31908.1	0	0	15	0	1	0.22	0.68	2.1e-21
PG944	CP002684.1	14452016	14461614	+	AEE31874.1	0	0	12	5	2	0.98	0.59	6.2e-19
PG946	CP002684.1	14465263	14465469	+	AEE77670.1	0	17	0	0	1	0.31	0.60	2.1e-14
PG947	CP002684.1	14472548	14472719	-	AEC06002.1	1	1	0	0	1	0.49	0.71	1.7e-22
PG948	CP002684.1	14472785	14487442	-	AEE82537.1	0	24	35	24	15	0.76	0.60	1.2e-20
PG950	CP002684.1	14498864	14511417	-	AEE31906.1	6	17	49	29	14	0.76	0.63	1.1e-21
PG951	CP002684.1	14541225	14541599	-	AEE83263.1	0	6	4	0	1	0.57	0.32	1.7e-15
PG952	CP002684.1	14541789	14542178	-	AEE32159.1	0	5	1	0	1	0.24	0.49	1.7e-29
PG953	CP002684.1	14544532	14545668	-	AEC06133.1	5	10	22	18	5	0.13	0.55	3.4e-24
PG954	CP002684.1	14581733	14582173	-	AEC06133.1	2	20	6	5	1	0.11	0.53	1.9e-23
PG955	CP002684.1	14585708	14586292	+	AED93870.1	2	20	1	8	2	0.95	0.72	2.7e-22
PG956	CP002684.1	14601362	14601605	+	ANM70864.1	2	3	0	0	1	0.46	0.43	2.2e-18
PG957	CP002684.1	14602503	14602742	+	AED96032.1	0	1	3	1	1	0.32	0.34	6.3e-09
PG958	CP002684.1	14602981	14603167	+	ANM60441.1	1	1	0	0	1	0.86	0.76	2.9e-27
PG959	CP002684.1	14603791	14604060	-	ANM64841.1	0	0	0	1	1	0.51	0.52	9e-26
PG960	CP002684.1	14609326	14609511	-	ANM60441.1	0	0	0	0	1	0.86	0.78	9.6e-29
PG961	CP002684.1	14657090	14685477	-	ANM59339.1	170	472	1658	325	39	1.00	0.67	2.2e-68
PG962	CP002684.1	14685705	14733473	+	ANM59339.1	262	987	3110	638	56	0.94	0.62	6.3e-61
PG963	CP002684.1	14745979	14750916	-	ANM59339.1	10	16	59	14	3	0.66	0.66	3.1e-46
PG964	CP002684.1	14803990	14805531	-	ANM59339.1	6	16	146	19	2	0.55	0.53	5.8e-32
PG965	CP002684.1	14807418	14807492	-	AEE77700.1	0	0	0	2	1	0.16	0.73	1.8e-11
PG966	CP002684.1	14818831	14837573	-	ANM59339.1	110	302	1155	231	35	0.90	0.64	8.8e-75
PG967	CP002684.1	14838872	14839176	-	AEE31874.1	3	7	29	1	1	0.98	0.49	4.3e-20
PG968	CP002684.1	14840495	14840598	-	AED93906.1	1	2	2	2	1	0.22	0.74	2.2e-14
PG969	CP002684.1	14861404	14861690	+	ANM63073.1	1	24	0	1	1	0.54	0.39	3.2e-13
PG970	CP002684.1	14863174	14863257	-	AED93878.1	0	0	0	0	1	0.23	0.76	7.1e-13
PG971	CP002684.1	14882202	14882305	+	AED93906.1	1	2	2	2	1	0.22	0.74	2.5e-14
PG972	CP002684.1	14883624	14883928	+	AEE31874.1	3	7	29	1	1	0.98	0.49	9.2e-21
PG973	CP002684.1	14885162	14891990	+	ANM59339.1	35	121	419	77	8	0.54	0.56	8e-49
PG974	CP002684.1	14906904	14906978	+	AEE77700.1	0	0	0	2	1	0.16	0.73	5.8e-12
PG975	CP002684.1	14908777	14910518	+	ANM58677.1	5	5	39	7	5	0.95	0.64	2.9e-23
PG976	CP002684.1	14911076	14911705	-	AED93870.1	1	35	1	2	2	0.95	0.78	2.8e-28
PG977	CP002684.1	14913725	14914162	+	AED95269.1	0	4	0	0	1	0.15	0.24	2.1e-14
PG978	CP002684.1	14914749	14914912	+	AED93878.1	1	1	3	0	1	0.48	0.75	7.5e-26
PG979	CP002684.1	14915814	14916100	+	ANM63073.1	1	24	0	1	1	0.54	0.39	1.2e-13
PG980	CP002684.1	14917528	14917662	-	AEE82534.1	0	0	0	1	1	0.41	0.63	2.5e-17
PG981	CP002684.1	14924074	14924309	+	AEE31908.1	1	1	4	1	1	0.19	0.71	2.4e-25
PG982	CP002684.1	14925570	14925650	-	AEE77700.1	0	0	0	1	1	0.17	0.71	2.2e-14
PG983	CP002684.1	14926922	14998888	+	ANM59339.1	600	1785	4060	900	90	0.93	0.58	4.1e-73
PG984	CP002684.1	15003021	15009101	-	AEE77621.1	0	0	0	1	3	0.28	0.97	7.7e-39
PG985	CP002684.1	15009704	15038143	+	ANM59339.1	161	517	1512	330	29	0.92	0.60	9.3e-80
PG986	CP002684.1	15041334	15060265	+	AEE77700.1	0	0	0	5	3	0.17	0.76	1.2e-13
PG987	CP002684.1	15061442	15065220	-	AEE31908.1	0	0	2	3	2	0.22	0.78	4e-33
PG989	CP002684.1	15075664	15075939	-	AEE31908.1	0	0	2	2	1	0.22	0.79	4.6e-29
PG990	CP002684.1	15078102	15078749	+	AED93870.1	1	11	8	6	3	0.99	0.72	1.5e-19
PG991	CP002684.1	15078840	15081251	-	AEE31883.1	1	2	14	2	4	1.00	0.67	6e-52
PG992	CP002684.1	15081743	15081872	+	ANM57744.1	1	9	0	0	1	0.45	0.66	5e-14
PG993	CP002684.1	15081904	15086041	+	AEC06132.1	0	0	0	0	2	0.35	0.83	1.8e-15
PG994	CP002684.1	15087675	15178542	-	AEC06133.1	31	48	159	174	50	0.56	0.50	1e-18
PG995	CP002684.1	15179084	15179423	+	AEE31908.1	1	1	0	0	2	0.22	0.70	2e-25
PG997	CP002684.1	15180624	15180701	-	AEE77700.1	0	0	0	1	1	0.16	0.81	1e-15
PG998	CP002684.1	15191411	15191643	+	AEE31908.1	1	1	16	0	1	0.22	0.65	8.8e-21
PG1000	CP002684.1	15192838	15192915	-	AEE77700.1	0	0	0	1	1	0.16	0.81	7e-16
PG1001	CP002684.1	15193245	15208068	-	AEE31906.1	6	23	21	29	7	0.57	0.46	3.7e-16
PG1002	CP002684.1	15217471	15217833	-	AEE73662.1	0	0	2	1	1	0.42	0.32	5.4e-13
PG1003	CP002684.1	15219699	15219938	-	AEC06134.1	0	0	0	0	1	0.52	0.43	1.8e-17
PG1004	CP002684.1	15220299	15220394	-	AED93862.1	0	0	0	0	1	0.97	0.82	5.9e-16
PG1005	CP002684.1	15220404	15220988	-	ANM70864.1	0	23	0	0	1	0.97	0.35	6.7e-17
PG1006	CP002684.1	15223999	15280298	-	AEC06133.1	20	27	92	92	27	0.11	0.50	1.5e-18
PG1007	CP002684.1	15281071	15289511	-	AEE77818.1	0	0	0	0	2	0.23	0.80	6.3e-19
PG1008	CP002684.1	15290663	15378402	-	AEC06133.1	26	36	120	123	35	0.11	0.50	1.9e-18
PG1009	CP002684.1	15379175	15387615	-	AEE77818.1	0	0	0	0	2	0.23	0.80	1.2e-17
PG1011	CP002684.1	15422238	15422460	+	AEE31908.1	2	2	15	0	1	0.21	0.74	6e-22
PG1012	CP002684.1	15423578	15423652	-	AEE77700.1	0	0	0	1	1	0.16	0.77	6.8e-13
PG1015	CP002684.1	15436720	15438189	+	AEE82537.1	1	10	5	15	6	0.33	0.63	1.6e-16
PG1016	CP002684.1	15438441	15438536	+	AED93862.1	0	0	0	0	1	0.97	0.82	2.9e-16
PG1017	CP002684.1	15438891	15439130	+	AEC06134.1	0	0	0	1	1	0.52	0.42	5.2e-16
PG1018	CP002684.1	15441459	15443940	-	AED93861.1	1	1	7	2	2	0.90	0.64	6.6e-34
PG1019	CP002684.1	15444800	15445172	+	AEE77678.1	2	2	0	0	2	0.17	0.74	5.4e-17
PG1020	CP002684.1	15445527	15453264	-	AEE31913.1	0	4	0	0	4	0.10	0.73	1.4e-12
PG1021	CP002684.1	15457238	15493482	-	AEE77700.1	0	0	0	11	6	0.16	0.76	2.3e-14
PG1022	CP002684.1	15503399	15503634	+	AEE31908.1	1	1	15	1	1	0.22	0.66	2.3e-21
PG1024	CP002684.1	15504757	15504834	-	AEE77700.1	0	0	0	1	1	0.16	0.78	1.2e-13
PG1025	CP002684.1	15507707	15517859	+	AEE77700.1	0	0	0	2	3	0.17	0.80	2.5e-16
PG1026	CP002684.1	15519047	15519315	-	AEE31908.1	1	1	4	2	1	0.22	0.61	2.5e-23
PG1027	CP002684.1	15522512	15522658	+	AEE77678.1	0	0	0	0	1	0.10	0.66	2.5e-16
PG1028	CP002684.1	15524938	15525355	+	AEC06132.1	3	3	17	5	3	0.37	0.61	3.3e-13
PG1029	CP002684.1	15537401	15546000	-	AEE31908.1	1	2	0	2	2	0.22	0.77	5.6e-32
PG1030	CP002684.1	15546796	15546986	+	AEE31969.1	1	1	0	2	1	0.55	0.52	1.5e-12
PG1031	CP002684.1	15547124	15547246	-	AEE77818.1	0	0	0	1	1	0.27	0.62	5.4e-15
PG1032	CP002684.1	15547880	15548455	+	ANM70864.1	0	23	0	2	1	0.95	0.29	8.5e-13
PG1033	CP002684.1	15549916	15550191	+	AED93864.1	2	9	0	3	1	0.53	0.54	3.9e-17
PG1034	CP002684.1	15562263	15566028	-	AEE82675.1	5	6	0	3	4	0.38	0.86	1.1e-43
PG1035	CP002684.1	15574393	15574767	+	AED96207.1	0	7	0	0	1	0.44	0.23	7.1e-10
PG1036	CP002684.1	15581307	15581557	+	AEE31969.1	1	1	0	2	1	0.72	0.45	1.1e-12
PG1037	CP002684.1	15581667	15581789	-	AEE77818.1	0	0	0	1	1	0.27	0.62	6.1e-16
PG1038	CP002684.1	15586945	15601227	+	AEC06133.1	16	55	72	62	8	0.75	0.49	2.4e-23
PG1039	CP002684.1	15610901	15612289	-	ANM66829.1	0	18	3	2	2	0.43	0.34	7.4e-23
PG1040	CP002684.1	15616303	15616383	+	AEE77700.1	0	0	0	1	1	0.17	0.82	1.5e-14
