#chr	start	end	strand	query	frac	ins	del	shift	stop	expect	ident	polya	type
CP002688.1	26971239	26973212	-	AT5G28190.1	0.77	36	26	6	4	7e-22	0.40	3	DUP
CP002686.1	15246	16297	-	AT2G05970.1	0.98	11	28	4	3	3e-59	0.471	0	PSSD
CP002686.1	156380	156715	-	AT3G18535.1	0.41	0	0	0	0	1e-21	0.429	0	FRAG
CP002686.1	500562	501854	-	AT1G01430.1	0.76	4	8	0	0	1e-13	0.46	0	DUP
CP002686.1	525155	526437	-	AT4G16215.1	0.67	0	0	0	0	7e-10	0.90	3	FRAG
CP002686.1	809911	810792	-	AT2G38590.1	0.94	9	111	2	2	2e-21	0.378	0	FRAG
CP002686.1	900681	900903	-	AT3G03670.1	0.27	1	12	1	0	4e-12	0.523	2	FRAG
CP002686.1	930330	931488	-	AT3G03730.1	0.98	11	11	1	0	5e-93	0.547	3	PSSD
CP002686.1	1013168	1013455	-	AT4G04220.1	0.14	0	17	0	1	3e-15	0.478	0	FRAG
CP002686.1	1101405	1101564	-	AT2G43930.1	0.27	1	2	1	0	3e-13	0.782	0	FRAG
CP002686.1	1127756	1128041	-	AT3G04280.1	0.91	1	34	1	0	2e-15	0.450	0	PSSD
CP002686.1	1165655	1165887	-	AT4G37500.1	0.66	6	9	2	1	6e-15	0.767	3	FRAG
CP002686.1	1281770	1282533	-	AT2G40560.1	0.87	3	10	1	1	3e-69	0.596	0	PSSD
CP002686.1	1284854	1285230	-	AT3G04720.1	0.57	15	8	1	3	7e-12	0.470	1	FRAG
CP002686.1	1367849	1367974	-	AT2G32020.1	0.23	0	0	0	2	5e-09	0.524	0	FRAG
CP002686.1	1399478	1399585	-	AT3G04490.1	0.03	0	0	0	0	8e-09	0.861	0	FRAG
CP002686.1	1534564	1535131	-	AT4G40000.1	0.18	4	6	3	4	6e-25	0.74	0	DUP
CP002686.1	1714053	1715686	-	AT5G26860.1	-0.24	1	0	1	0	3e-37	0.86	0	DUP
CP002686.1	1743738	1745072	-	AT1G64260.1	0.62	16	19	0	0	4e-19	0.261	0	FRAG
CP002686.1	1938379	1938680	-	AT5G18670.1	0.19	2	0	1	0	4e-24	0.743	0	FRAG
CP002686.1	2069576	2069817	-	AT3G06650.1	0.15	3	9	3	2	9e-11	0.689	0	FRAG
CP002686.1	2093219	2093869	-	AT4G10850.1	0.62	0	1	0	0	3e-12	0.54	1	DUP
CP002686.1	2099611	2099907	-	AT4G32670.1	0.12	0	0	0	3	7e-14	0.434	1	FRAG
CP002686.1	2189874	2191211	-	AT1G64260.1	0.62	21	21	2	2	1e-25	0.255	0	FRAG
CP002686.1	2251341	2251565	-	AT5G48810.1	0.49	9	3	0	0	1e-08	0.513	0	FRAG
CP002686.1	2296523	2296810	-	AT1G48140.1	0.81	0	0	0	3	5e-11	0.65	1	DUP
CP002686.1	2317942	2318430	-	AT5G43490.1	0.88	6	6	0	0	2e-32	0.550	3	PSSD
CP002686.1	2318678	2319583	-	AT5G48610.1	0.86	3	6	0	0	6e-39	0.516	0	PSSD
CP002686.1	2361841	2362085	-	AT4G20170.1	0.16	1	1	1	0	4e-33	0.916	0	FRAG
CP002686.1	2705495	2706219	-	AT5G01600.1	0.52	3	5	1	0	8e-09	0.61	0	FRAG
CP002686.1	2760835	2761065	-	AT3G09150.3	0.27	14	4	0	1	3e-08	0.506	0	FRAG
CP002686.1	2882495	2883773	-	AT3G19760.1	1.00	1	16	1	0	6e-175	0.84	0	DUP
CP002686.1	2942113	2942515	-	AT4G02210.1	0.27	20	4	1	4	4e-20	0.642	1	FRAG
CP002686.1	3039015	3040115	-	AT3G06570.1	0.94	22	18	3	0	1e-67	0.508	3	PSSD
CP002686.1	3121474	3121685	-	AT4G20690.1	0.51	1	0	1	0	5e-16	0.915	0	FRAG
CP002686.1	3244873	3245047	-	AT3G08750.1	0.16	1	0	1	1	3e-09	0.655	0	FRAG
CP002686.1	3318244	3318752	-	AT3G10140.1	0.47	4	16	1	10	2e-11	0.409	0	FRAG
CP002686.1	3400825	3401022	-	AT4G32410.1	0.06	0	0	0	1	2e-17	0.667	0	FRAG
CP002686.1	3541922	3542109	-	AT2G38080.1	0.11	5	0	1	2	4e-07	0.556	1	FRAG
CP002686.1	3685502	3685647	-	AT5G56430.1	0.14	1	0	1	0	4e-08	0.673	3	FRAG
CP002686.1	3872461	3873434	-	AT3G12145.1	1.00	2	26	1	0	2e-101	0.70	0	DUP
CP002686.1	3953338	3953997	-	AT3G12460.1	0.95	0	10	0	1	2e-80	0.726	0	PSSD
CP002686.1	4085443	4085748	-	AT5G56440.1	0.28	1	19	0	0	1e-09	0.397	0	FRAG
CP002686.1	4155141	4156046	-	AT2G29930.2	0.76	13	5	1	7	3e-35	0.49	0	DUP
CP002686.1	4165948	4166372	-	AT3G13000.1	0.19	3	0	2	1	8e-11	0.80	1	DUP
CP002686.1	4179166	4179423	-	AT3G13680.1	0.22	1	2	0	0	2e-14	0.568	0	FRAG
CP002686.1	4244282	4244666	-	AT4G21560.1	0.72	5	25	3	2	9e-14	0.634	0	PSSD
CP002686.1	4454225	4454899	-	AT3G13680.1	0.57	3	3	0	1	1e-57	0.566	0	FRAG
CP002686.1	4454892	4456010	-	AT3G13680.1	0.96	5	12	0	1	1e-108	0.579	0	PSSD
CP002686.1	4551172	4551357	-	AT5G18020.1	0.68	0	0	0	1	4e-17	0.710	0	FRAG
CP002686.1	4612153	4612517	-	AT1G54215.1	0.78	4	13	1	0	4e-07	0.519	0	FRAG
CP002686.1	4709871	4710059	-	AT1G54070.1	0.71	0	24	0	0	1e-07	0.460	0	FRAG
CP002686.1	4779167	4779516	-	AT3G14320.1	0.65	2	16	1	1	4e-15	0.466	3	FRAG
CP002686.1	4862986	4864965	-	AT3G14520.1	0.55	2	2	1	0	5e-54	0.62	0	DUP
CP002686.1	4869251	4874098	-	AT3G14520.1	1.00	5	9	0	0	3e-168	0.73	0	DUP
CP002686.1	4967646	4969499	-	AT3G42170.1	0.85	30	4	0	0	4e-81	0.334	0	FRAG
CP002686.1	5068476	5068952	-	AT3G13280.1	0.39	14	1	5	4	4e-10	0.563	3	FRAG
CP002686.1	5096641	5097109	-	AT1G24800.1	0.37	7	9	1	1	2e-28	0.576	0	FRAG
CP002686.1	5390608	5391744	-	AT4G17200.1	1.00	11	9	3	1	4e-111	0.671	0	PSSD
CP002686.1	5570860	5571074	-	AT4G15093.1	0.28	1	4	1	2	2e-15	0.737	3	FRAG
CP002686.1	5649007	5649340	-	AT2G14710.1	0.34	1	13	1	0	8e-37	0.653	3	FRAG
CP002686.1	5730274	5730372	-	AT2G11200.1	0.21	0	0	0	0	2e-07	0.909	3	FRAG
CP002686.1	5808939	5809117	-	AT5G13010.1	0.05	1	9	1	0	3e-14	0.725	0	FRAG
CP002686.1	5855206	5855403	-	AT3G17540.1	0.18	2	7	0	0	4e-07	0.425	0	FRAG
CP002686.1	5896204	5897493	-	AT3G42170.1	0.57	9	28	0	0	6e-14	0.29	1	FRAG
CP002686.1	5905169	5906782	-	AT3G42170.1	0.74	52	28	0	1	7e-31	0.230	0	FRAG
CP002686.1	5913914	5914036	-	AT3G17320.1	0.10	0	1	0	0	2e-07	0.738	0	FRAG
CP002686.1	6067343	6067923	-	AT3G18340.1	0.54	7	4	5	1	1e-57	0.707	0	FRAG
CP002686.1	6126485	6126886	-	AT3G16740.1	0.36	2	8	0	0	3e-45	0.683	0	FRAG
CP002686.1	6289341	6290380	-	AT3G49510.1	0.54	18	25	1	1	2e-21	0.366	0	FRAG
CP002686.1	6378493	6378600	-	AT3G18530.1	0.10	0	0	0	0	1e-11	0.972	0	FRAG
CP002686.1	6495667	6495900	-	AT3G17400.1	0.42	1	0	0	1	2e-12	0.603	0	FRAG
CP002686.1	6548358	6548588	-	AT2G31970.1	0.04	22	0	0	3	3e-08	0.493	3	FRAG
CP002686.1	6739980	6740371	-	AT1G25141.1	0.54	7	1	1	0	1e-18	0.561	0	FRAG
CP002686.1	6913803	6914104	-	AT4G05080.1	0.26	6	5	2	0	2e-11	0.676	3	FRAG
CP002686.1	7236020	7237087	-	AT3G20710.1	0.99	9	13	0	1	2e-94	0.566	0	PSSD
CP002686.1	7279049	7279248	-	AT2G13430.1	0.39	1	3	1	2	6e-09	0.614	0	FRAG
CP002686.1	7572232	7572483	-	AT4G34870.1	0.49	2	0	2	0	2e-18	0.690	0	FRAG
CP002686.1	7678715	7679271	-	AT3G21790.1	0.40	4	17	2	3	1e-48	0.668	0	FRAG
CP002686.1	7802088	7802383	-	AT5G42905.1	0.38	1	0	1	1	2e-20	0.545	0	FRAG
CP002686.1	7847652	7847768	-	AT3G22240.1	0.58	0	3	0	0	3e-07	0.667	2	FRAG
CP002686.1	7857690	7857806	-	AT3G22240.1	0.58	0	3	0	0	3e-07	0.667	2	FRAG
CP002686.1	8022009	8023052	-	AT3G22690.2	0.41	0	0	0	0	5e-30	1.000	0	FRAG
CP002686.1	8130272	8130856	-	AT1G24380.1	0.67	0	0	0	0	1e-89	0.969	0	FRAG
CP002686.1	8386206	8387372	-	AT3G24580.1	0.99	27	7	4	1	2e-82	0.568	0	PSSD
CP002686.1	8426464	8427197	-	AT3G01345.1	0.50	21	6	5	2	6e-11	0.482	3	FRAG
CP002686.1	8509855	8509959	-	AT2G13295.1	0.31	0	0	0	0	2e-07	0.629	0	FRAG
CP002686.1	8518010	8518763	-	AT1G01410.1	0.74	6	19	3	0	1e-34	0.500	0	PSSD
CP002686.1	8858607	8861327	-	AT2G18470.1	0.92	43	8	5	9	7e-48	0.50	3	DUP
CP002686.1	8887427	8887810	-	AT5G60980.1	0.27	4	0	0	0	9e-20	0.445	0	FRAG
CP002686.1	8983603	8984617	-	AT3G19560.1	0.97	24	32	4	6	3e-33	0.404	3	PSSD
CP002686.1	9023755	9024085	-	AT3G24330.1	0.24	1	10	1	1	5e-31	0.783	3	FRAG
CP002686.1	9042378	9043067	-	AT4G10190.1	0.65	12	18	2	1	4e-37	0.492	0	FRAG
CP002686.1	9075720	9081400	-	AT3G24880.1	0.58	4	2	4	1	8e-128	0.98	0	DUP
CP002686.1	9171059	9172204	-	AT5G24050.1	1.00	0	5	0	0	2e-138	0.84	0	DUP
CP002686.1	9393826	9394232	-	AT5G16486.1	0.65	1	0	1	1	2e-46	0.713	3	FRAG
CP002686.1	9435092	9436398	-	AT3G24255.1	0.50	3	3	1	1	1e-16	0.58	0	DUP
CP002686.1	9556354	9556506	-	AT2G05185.1	0.58	0	0	0	0	3e-21	0.922	3	FRAG
CP002686.1	9557024	9557461	-	AT5G19840.1	0.26	1	23	1	0	6e-15	0.59	0	DUP
CP002686.1	9557457	9557799	-	AT4G39930.1	1.00	6	7	1	1	3e-28	0.736	0	PSSD
CP002686.1	9558648	9558785	-	AT1G52950.1	0.08	0	0	0	0	3e-09	0.696	0	FRAG
CP002686.1	9570452	9571979	-	AT3G26180.1	1.00	10	0	3	4	0.0	0.755	0	PSSD
CP002686.1	9600413	9600556	-	AT5G41000.1	0.07	0	1	0	0	2e-07	0.673	2	FRAG
CP002686.1	9636707	9638348	-	AT3G26300.1	1.00	0	0	0	2	0.0	0.75	1	DUP
CP002686.1	9679996	9680335	-	AT1G12990.1	0.29	7	4	3	0	7e-33	0.752	0	FRAG
CP002686.1	9847234	9848312	-	AT4G13965.1	0.81	3	5	1	0	1e-66	0.60	0	DUP
CP002686.1	9863103	9863529	-	AT4G22050.1	0.41	3	4	1	0	6e-52	0.815	0	FRAG
CP002686.1	9904288	9904684	-	AT3G26880.1	0.99	5	0	4	1	3e-18	0.677	3	PSSD
CP002686.1	9992138	9994084	-	AT3G27500.1	0.94	9	11	2	0	0.0	0.708	0	PSSD
CP002686.1	10036027	10036197	-	AT1G34460.2	0.12	0	0	0	0	3e-20	0.877	0	FRAG
CP002686.1	10092862	10093129	-	AT1G08985.1	1.00	3	14	1	0	3e-21	0.612	0	PSSD
CP002686.1	10128053	10128538	-	AT5G40690.1	0.98	10	51	2	0	1e-08	0.376	1	FRAG
CP002686.1	10158317	10158628	-	AT3G53890.1	0.79	0	0	0	0	5e-21	0.95	0	DUP
CP002686.1	10172008	10172210	-	AT5G48860.1	0.41	1	3	1	3	2e-09	0.606	1	FRAG
CP002686.1	10265232	10265756	-	AT1G21250.1	0.25	2	12	0	10	3e-10	0.326	1	FRAG
CP002686.1	10301119	10302238	-	AT4G05360.1	0.48	13	10	6	5	3e-59	0.73	0	DUP
CP002686.1	10354953	10355359	-	AT3G43280.1	0.82	12	3	1	0	2e-11	0.417	3	PSSD
CP002686.1	10357331	10358300	-	AT4G35120.1	0.85	15	20	1	0	1e-25	0.318	2	FRAG
CP002686.1	10388516	10388904	-	AT2G04420.1	0.65	2	14	1	2	2e-16	0.368	1	FRAG
CP002686.1	10478074	10479609	-	AT4G29090.1	0.94	11	33	4	0	2e-26	0.312	0	FRAG
CP002686.1	10491067	10491156	-	AT1G50360.1	0.03	0	0	0	0	2e-08	0.933	0	FRAG
CP002686.1	10534541	10535234	-	AT3G28223.1	0.63	9	21	4	6	7e-34	0.460	0	FRAG
CP002686.1	10544489	10544611	-	AT1G50080.1	0.45	0	0	0	1	6e-10	0.512	1	FRAG
CP002686.1	10634444	10634878	-	AT1G37000.1	0.67	3	5	0	3	3e-20	0.513	3	FRAG
CP002686.1	10697954	10698343	-	AT2G19960.1	0.77	2	3	2	0	3e-13	0.504	1	PSSD
CP002686.1	10698939	10700141	-	AT4G10200.1	0.49	13	3	1	3	8e-60	0.44	0	DUP
CP002686.1	10726555	10727331	-	AT5G43210.1	0.90	4	6	2	4	3e-18	0.71	0	DUP
CP002686.1	10767631	10768059	-	AT4G03566.1	0.95	0	0	0	1	8e-48	0.601	3	PSSD
CP002686.1	10772269	10772562	-	AT5G18636.1	0.27	0	0	0	0	3e-11	0.327	0	FRAG
CP002686.1	10851725	10852080	-	AT1G51970.1	0.97	4	4	1	0	4e-15	0.447	3	PSSD
CP002686.1	10884545	10885285	-	AT4G04650.1	0.75	0	2	0	2	1e-23	0.422	3	PSSD
CP002686.1	10885326	10886834	-	AT1G43760.1	0.73	3	0	2	2	1e-45	0.48	0	DUP
CP002686.1	10887560	10887862	-	AT5G32613.1	0.22	1	1	0	0	5e-23	0.529	0	FRAG
CP002686.1	10943161	10943350	-	AT5G17720.1	0.14	3	0	1	1	2e-10	0.730	3	FRAG
CP002686.1	10965368	10965534	-	AT1G44940.1	0.60	8	0	1	2	6e-07	0.679	0	FRAG
CP002686.1	10995488	10996165	-	AT3G30280.1	0.66	5	64	5	6	2e-19	0.464	3	FRAG
CP002686.1	11027795	11028197	-	AT5G35760.1	0.68	15	0	1	0	2e-21	0.545	3	FRAG
CP002686.1	11065652	11066467	-	AT1G43730.1	0.78	1	3	0	0	5e-34	0.39	0	FRAG
CP002686.1	11067673	11068865	-	AT1G43760.1	0.63	8	5	1	1	5e-35	0.330	0	FRAG
CP002686.1	11100931	11101232	-	AT5G42905.1	0.46	3	19	1	3	3e-15	0.500	3	FRAG
CP002686.1	11108151	11109218	-	AT3G18720.1	0.90	27	14	0	1	5e-66	0.478	1	PSSD
CP002686.1	11170637	11171392	-	AT2G33160.1	0.38	2	3	0	0	2e-91	0.643	1	FRAG
CP002686.1	11198685	11198978	-	AT3G29260.1	0.41	0	9	0	2	6e-29	0.664	0	FRAG
CP002686.1	11220868	11221318	-	AT1G14800.1	0.32	6	2	2	1	4e-12	0.44	1	DUP
CP002686.1	11230164	11230807	-	AT5G35695.1	0.85	3	4	3	1	7e-31	0.60	0	DUP
CP002686.1	11231012	11231080	-	AT5G28950.1	0.16	0	0	0	0	4e-09	0.652	0	FRAG
CP002686.1	11306761	11306978	-	AT3G05170.1	0.25	3	7	2	0	1e-15	0.722	0	FRAG
CP002686.1	11310555	11310769	-	AT3G05170.1	0.24	3	7	2	0	5e-16	0.744	1	FRAG
CP002686.1	11342094	11342249	-	AT3G32050.1	0.30	0	0	0	1	9e-07	0.577	0	FRAG
CP002686.1	11350570	11350870	-	AT5G25000.1	0.84	1	2	1	0	2e-33	0.794	0	PSSD
CP002686.1	11350967	11351590	-	AT5G35050.1	1.00	3	0	3	3	6e-41	0.794	0	PSSD
CP002686.1	11358920	11359187	-	AT3G29560.1	0.53	0	0	0	1	4e-20	0.89	0	DUP
CP002686.1	11371527	11372429	-	AT1G52950.1	0.35	5	0	3	2	1e-10	0.42	0	DUP
CP002686.1	11412731	11413158	-	AT3G14670.2	0.62	1	1	1	2	2e-17	0.819	0	FRAG
CP002686.1	11454753	11456689	-	AT1G40087.1	0.74	31	3	3	3	2e-11	0.46	0	DUP
CP002686.1	11471393	11472052	-	AT1G36675.1	0.62	0	18	0	2	1e-15	0.57	0	DUP
CP002686.1	11477472	11477615	-	AT1G36580.1	0.26	0	0	0	0	1e-15	0.875	3	FRAG
CP002686.1	11480601	11481268	-	AT1G36675.1	0.63	2	18	1	5	1e-14	0.56	0	DUP
CP002686.1	11554671	11555972	-	AT3G29680.1	0.97	4	7	2	1	1e-176	0.739	0	PSSD
CP002686.1	11557460	11558743	-	AT3G60040.1	0.46	6	27	0	10	4e-45	0.50	0	DUP
CP002686.1	11558976	11560181	-	AT3G24255.1	0.50	9	5	3	3	1e-10	0.54	0	DUP
CP002686.1	11585948	11586184	-	AT3G30770.1	0.13	0	0	0	0	6e-14	0.620	0	FRAG
CP002686.1	11593199	11593426	-	ATCG00180.1	0.11	0	0	0	1	2e-25	0.842	0	FRAG
CP002686.1	11602052	11603827	-	AT3G57400.1	0.59	3	26	1	1	1e-44	0.82	1	DUP
CP002686.1	11604209	11605175	-	AT1G43760.1	0.42	11	0	2	2	2e-20	0.34	0	FRAG
CP002686.1	11611250	11611576	-	AT3G29785.1	1.00	0	0	0	1	2e-50	0.917	0	PSSD
CP002686.1	11628695	11629033	-	AT1G43320.1	0.96	18	16	2	0	1e-24	0.589	0	PSSD
CP002686.1	11663904	11663999	-	AT3G30840.1	0.55	0	0	0	0	7e-08	0.875	0	FRAG
CP002686.1	11713319	11713789	-	AT1G16970.1	0.19	11	0	0	6	8e-12	0.62	0	DUP
CP002686.1	11719251	11719505	-	AT3G24255.1	0.07	2	0	0	0	3e-07	0.63	1	FRAG
CP002686.1	11747054	11747780	-	AT4G00250.1	0.80	16	22	6	1	5e-29	0.561	3	PSSD
CP002686.1	11752005	11756485	-	AT2G10440.2	1.00	15	15	6	3	2e-125	0.78	0	DUP
CP002686.1	11758661	11758998	-	AT1G56350.1	0.17	2	0	2	0	2e-16	0.93	1	DUP
CP002686.1	11819877	11820794	-	AT1G24380.1	0.98	4	6	4	0	4e-102	0.88	1	DUP
CP002686.1	11849899	11850126	-	AT5G01080.1	0.40	2	0	0	0	1e-11	0.539	3	FRAG
CP002686.1	11861008	11861136	-	AT4G09260.1	0.28	0	0	0	0	3e-11	0.791	0	FRAG
CP002686.1	11861245	11861647	-	AT1G35320.1	0.63	0	0	0	2	5e-10	0.89	0	FRAG
CP002686.1	11877044	11877481	-	AT2G11015.1	1.00	0	0	0	2	2e-52	0.822	0	PSSD
CP002686.1	11878167	11878440	-	AT3G32180.1	0.66	0	0	0	0	1e-23	0.85	0	DUP
CP002686.1	11879634	11881854	-	AT2G11010.1	0.67	34	4	3	4	4e-78	0.67	0	DUP
CP002686.1	11896377	11897354	-	AT3G43870.1	1.00	9	5	3	2	6e-18	0.74	0	DUP
CP002686.1	11915863	11916781	-	AT1G19260.1	0.40	12	7	8	7	2e-20	0.510	0	FRAG
CP002686.1	11918560	11919856	-	AT1G65670.1	0.70	7	1	2	0	5e-117	0.75	3	DUP
CP002686.1	12044277	12045794	-	AT5G39770.1	0.26	3	5	3	5	3e-21	0.61	0	DUP
CP002686.1	12046753	12047276	-	AT1G47660.1	0.63	1	33	1	4	4e-17	0.55	0	DUP
CP002686.1	12047641	12047763	-	AT1G48953.1	0.43	0	0	0	0	3e-08	0.659	0	FRAG
CP002686.1	12073836	12074123	-	AT3G43870.1	0.50	6	2	2	0	2e-14	0.735	0	FRAG
CP002686.1	12076645	12076932	-	AT3G43870.1	0.50	6	2	2	0	2e-12	0.704	3	FRAG
CP002686.1	12093642	12094209	-	AT3G21960.2	0.43	8	7	2	1	9e-09	0.411	0	FRAG
CP002686.1	12098868	12099115	-	AT3G32905.1	0.98	1	0	1	1	4e-19	0.675	2	PSSD
CP002686.1	12101912	12102091	-	AT3G32905.1	0.71	0	0	0	1	1e-16	0.733	0	PSSD
CP002686.1	12142094	12142267	-	AT3G10890.1	0.14	0	0	0	0	6e-15	0.810	3	FRAG
CP002686.1	12144671	12145954	-	AT3G10900.1	0.63	2	0	2	0	1e-41	0.93	1	DUP
CP002686.1	12234967	12235801	-	AT2G16040.1	0.73	4	5	1	0	1e-111	0.848	0	PSSD
CP002686.1	12236019	12237072	-	AT4G10200.1	0.46	25	7	2	3	1e-73	0.501	0	FRAG
CP002686.1	12299386	12299687	-	AT3G27329.1	0.83	2	1	1	1	6e-25	0.627	0	PSSD
CP002686.1	12300958	12301347	-	AT3G26870.1	1.00	0	0	0	0	1e-64	0.938	0	PSSD
CP002686.1	12318244	12318399	-	AT1G75230.1	0.13	0	0	0	0	1e-08	0.788	1	FRAG
CP002686.1	12355011	12355657	-	AT2G02650.1	0.60	6	3	5	3	8e-17	0.484	1	FRAG
CP002686.1	12355867	12356284	-	ATMG00310.1	0.88	8	2	2	6	3e-10	0.404	0	FRAG
CP002686.1	12359829	12359975	-	AT4G12190.1	0.73	1	4	0	0	6e-07	0.415	1	FRAG
CP002686.1	12361754	12369772	-	AT5G28780.1	0.99	6	0	0	1	2e-36	0.79	3	DUP
CP002686.1	12364111	12364230	-	AT3G30730.1	0.60	0	0	0	0	3e-11	0.775	0	FRAG
CP002686.1	12474140	12474494	-	AT1G20540.1	0.23	3	0	1	2	4e-20	0.84	0	DUP
CP002686.1	12474654	12474755	-	AT4G36580.1	0.05	0	0	0	0	3e-08	0.912	0	FRAG
CP002686.1	12489619	12491420	-	AT3G42723.1	0.71	43	19	4	12	1e-96	0.464	0	PSSD
CP002686.1	12502459	12511588	-	AT3G11710.1	0.40	18	0	2	2	6e-35	0.74	0	DUP
CP002686.1	12503886	12504853	-	AT5G33393.1	0.64	11	5	1	3	3e-52	0.56	0	DUP
CP002686.1	12507892	12508032	-	AT3G44713.1	0.08	0	0	0	3	7e-08	0.681	0	FRAG
CP002686.1	12585358	12586407	-	AT3G42723.1	0.33	0	0	0	0	2e-11	0.39	0	FRAG
CP002686.1	12634413	12635291	-	AT1G10000.1	0.96	8	6	0	1	1e-32	0.348	3	FRAG
CP002686.1	12640785	12641706	-	AT1G43722.1	0.95	2	1	2	4	2e-99	0.683	1	PSSD
CP002686.1	12642292	12642958	-	AT1G43720.1	0.71	8	9	1	3	8e-16	0.359	0	FRAG
CP002686.1	12648382	12649250	-	AT4G27030.1	0.89	2	0	1	2	2e-140	0.879	3	PSSD
CP002686.1	12649711	12653540	-	AT3G28345.1	0.36	12	5	2	0	7e-161	0.52	0	DUP
CP002686.1	12662601	12670958	-	AT1G66520.1	0.55	1	0	1	0	7e-31	0.91	0	DUP
CP002686.1	12681687	12682043	-	AT5G28070.1	0.99	5	0	0	0	4e-19	0.75	0	DUP
CP002686.1	12725740	12725934	-	AT5G28780.1	0.19	0	0	0	2	2e-09	0.523	0	FRAG
CP002686.1	12780984	12781291	-	AT2G06420.1	0.40	5	0	2	0	1e-31	0.843	0	FRAG
CP002686.1	12784203	12786769	-	AT3G32030.1	1.00	0	0	0	4	2e-140	0.92	3	DUP
CP002686.1	12787936	12788340	-	AT1G47497.1	0.98	0	0	0	0	1e-46	0.726	1	PSSD
CP002686.1	12806658	12806768	-	AT3G32036.1	1.00	0	0	0	0	2e-13	0.946	0	PSSD
CP002686.1	12848314	12848424	-	AT3G32036.1	1.00	0	0	0	1	6e-09	0.811	0	FRAG
CP002686.1	12879070	12879383	-	AT1G01530.1	0.43	1	0	1	4	4e-19	0.629	0	FRAG
CP002686.1	12880317	12881037	-	AT3G32330.1	0.65	39	6	6	8	4e-07	0.430	0	FRAG
CP002686.1	12902884	12903180	-	AT5G10510.1	0.12	30	0	0	6	2e-08	0.458	0	FRAG
CP002686.1	12903192	12903896	-	AT5G58000.1	0.30	6	0	0	3	8e-38	0.78	0	DUP
CP002686.1	12913733	12914713	-	AT3G43870.1	1.00	5	0	1	2	6e-22	0.74	3	DUP
CP002686.1	12916290	12916443	-	AT3G44210.1	0.35	2	0	1	0	6e-09	0.686	3	FRAG
CP002686.1	12979292	12981063	-	AT1G52950.1	0.74	3	4	2	1	1e-43	0.48	1	DUP
CP002686.1	13017170	13017521	-	AT1G42080.1	0.77	1	0	1	0	2e-51	0.915	0	PSSD
CP002686.1	13031218	13031653	-	AT5G38190.1	0.12	0	0	0	3	1e-32	0.64	0	DUP
CP002686.1	13042800	13042910	-	AT3G32036.1	1.00	0	0	0	0	2e-09	0.811	3	FRAG
CP002686.1	13044125	13044664	-	AT4G07666.1	0.49	12	0	0	4	7e-19	0.539	0	FRAG
CP002686.1	13053145	13053924	-	AT5G65005.1	0.97	4	0	0	2	3e-49	0.473	3	PSSD
CP002686.1	13126355	13126465	-	AT3G31401.1	0.86	0	0	0	0	2e-14	0.973	0	PSSD
CP002686.1	13126678	13126821	-	AT1G25370.1	0.18	0	0	0	0	1e-15	0.875	0	FRAG
CP002686.1	13138760	13139057	-	AT2G06420.1	0.40	1	0	1	0	4e-25	0.859	0	FRAG
CP002686.1	13155113	13155223	-	AT3G32036.1	1.00	0	0	0	1	8e-07	0.730	0	FRAG
CP002686.1	13161696	13162129	-	AT4G06490.1	1.00	1	1	1	2	2e-36	0.637	0	PSSD
CP002686.1	13170836	13172446	-	AT5G32590.1	0.60	1	0	1	2	5e-160	0.81	0	DUP
CP002686.1	13177895	13178005	-	AT3G32036.1	1.00	0	0	0	1	2e-07	0.757	3	FRAG
CP002686.1	13179935	13180045	-	AT3G32036.1	1.00	0	0	0	1	2e-07	0.757	3	FRAG
CP002686.1	13225306	13225416	-	AT3G32036.1	1.00	0	0	0	1	2e-07	0.757	0	FRAG
CP002686.1	13226370	13226480	-	AT3G32036.1	1.00	0	0	0	1	5e-08	0.757	3	FRAG
CP002686.1	13228383	13228493	-	AT3G32036.1	1.00	0	0	0	1	3e-07	0.757	3	FRAG
CP002686.1	13265492	13265805	-	AT1G01530.1	0.43	1	0	1	5	7e-17	0.610	0	FRAG
CP002686.1	13267532	13268109	+	AT3G32280.1	0.34	3	5	3	2	1e-09	0.60	1	FRAG
CP002686.1	13282370	13283887	-	AT4G29090.1	0.91	5	20	2	2	1e-28	0.295	0	FRAG
CP002686.1	13291269	13291582	-	AT1G01530.1	0.43	1	0	1	5	5e-16	0.600	0	FRAG
CP002686.1	13293322	13293899	+	AT3G32280.1	0.34	3	5	3	2	6e-08	0.61	1	FRAG
CP002686.1	13311829	13312525	-	AT5G10510.1	0.35	17	11	5	13	2e-10	0.39	0	FRAG
CP002686.1	13312579	13313245	-	AT5G58000.1	0.28	2	0	0	1	2e-37	0.81	0	DUP
CP002686.1	13316345	13316941	-	AT1G47660.1	0.63	0	8	0	0	2e-25	0.75	0	DUP
CP002686.1	13374426	13375414	-	AT2G25050.1	0.27	3	3	3	1	5e-100	0.94	0	DUP
CP002686.1	13393588	13393905	-	AT4G08867.1	0.76	0	0	0	1	8e-38	0.698	0	PSSD
CP002686.1	13449934	13450867	-	AT1G43722.1	0.98	2	4	2	2	8e-120	0.737	1	PSSD
CP002686.1	13467712	13468545	-	AT2G06845.1	0.80	4	0	0	0	2e-61	0.52	0	DUP
CP002686.1	13472535	13473407	-	AT2G41590.1	0.83	5	17	0	0	1e-19	0.266	0	FRAG
CP002686.1	13484928	13485307	-	AT3G59390.1	0.28	1	0	1	2	9e-07	0.71	3	FRAG
