# Intersecting genes (threshold: 60.0%)
# Total genes in file1: 3705
# Total genes in file2: 7859
# Total matches found: 2598
# Match percentage: 70.12%
# Average values:
#   pseudopipe coverage: 0.53
#   pseudoscope coverage: 0.57
#   pseudopipe identity: 0.66
#   pseudoscope identity: 0.63
#   overlap: 94.93%

# chrom	ppipe_start	ppipe_end	pscope_start	pscope_end	ppipe_cov	pscope_cov	ppipe_ident	pscope_ident	overlap
CP002688.1	17003701	17003844	17003698	17003841	0.06	0.06	0.78	0.77	97.92%
CP002688.1	17020010	17020354	17020013	17020354	1.00	0.99	0.93	0.87	99.13%
CP002688.1	17040635	17040754	17040638	17040757	0.55	0.55	0.62	0.61	97.50%
CP002688.1	17090429	17095958	17090202	17095866	0.36	0.64	0.54	0.55	98.34%
CP002688.1	17404269	17404447	17404266	17404438	0.12	0.11	0.72	0.62	94.97%
CP002688.1	17404479	17404826	17404479	17404826	0.78	0.65	0.70	0.68	100.00%
CP002688.1	17430420	17430524	17430405	17430524	0.09	0.13	0.91	0.71	100.00%
CP002688.1	17521990	17522326	17521993	17522326	0.25	0.25	0.51	0.89	99.11%
CP002688.1	17692324	17692596	17692336	17692713	0.35	0.73	0.52	0.42	95.60%
CP002688.1	17901806	17903355	17901809	17903514	1.00	0.96	0.81	0.78	99.81%
CP002688.1	18148453	18149020	18148441	18148874	0.55	0.41	0.48	0.53	74.30%
CP002688.1	18222752	18222919	18222734	18224934	0.19	0.98	0.88	0.54	100.00%
CP002688.1	18311956	18312338	18312022	18312266	0.67	0.44	0.52	0.68	63.97%
CP002688.1	18320366	18321385	18320457	18321397	0.23	0.21	0.41	0.48	91.08%
CP002688.1	18340070	18340381	18340007	18340465	0.46	0.68	0.36	0.32	100.00%
CP002688.1	18665957	18666154	18665957	18666175	0.31	0.34	0.57	0.52	100.00%
CP002688.1	18927502	18929208	18927496	18929208	0.99	0.99	0.58	0.58	100.00%
CP002688.1	19061190	19061390	19061151	19061390	0.41	0.44	0.85	0.58	100.00%
CP002688.1	19211974	19212286	19211962	19212244	0.64	0.43	0.48	0.49	86.58%
CP002688.1	19364130	19364587	19364118	19364587	0.19	0.20	0.84	0.81	100.00%
CP002688.1	19496980	19497335	19495461	19497223	0.26	0.19	0.59	0.79	68.54%
CP002688.1	19797800	19798026	19797803	19798087	0.17	0.21	0.58	0.32	98.68%
CP002688.1	19986786	19987582	19986783	19988001	0.38	0.52	0.60	0.68	100.00%
CP002688.1	20141258	20141721	20141365	20141721	0.76	0.59	0.35	0.32	76.94%
CP002688.1	20313489	20313889	20313543	20313892	0.14	0.12	0.47	0.45	86.53%
CP002688.1	20376311	20377028	20376314	20376942	0.59	0.54	0.67	0.69	87.60%
CP002688.1	20433784	20434626	20433787	20434635	0.51	0.52	0.59	0.62	99.64%
CP002688.1	20473299	20473637	20473302	20473649	0.37	0.38	0.66	0.65	99.12%
CP002688.1	20562023	20562160	20562026	20562172	0.20	0.21	0.67	0.58	97.83%
CP002688.1	20564149	20564634	20563607	20564598	0.28	0.37	0.65	0.71	92.59%
CP002688.1	20597492	20597974	20597495	20597926	0.28	0.23	0.65	0.39	89.44%
CP002688.1	21157296	21158555	21157369	21158663	0.49	0.81	0.58	0.55	94.21%
CP002688.1	21160154	21160483	21160157	21160513	0.70	0.76	0.78	0.73	99.09%
CP002688.1	21831517	21831972	21831598	21833222	0.89	0.95	0.66	0.31	82.24%
CP002688.1	21932145	21933020	21927945	21933117	0.79	0.99	0.65	0.57	100.00%
CP002688.1	21936488	21936583	21936491	21936583	0.27	0.26	0.97	0.97	96.88%
CP002688.1	21990659	21990808	21990656	21990808	0.18	0.19	0.90	0.89	100.00%
CP002688.1	22095019	22095189	22095022	22095195	0.26	0.26	0.81	0.78	98.25%
CP002688.1	22233209	22233524	22233300	22233596	0.32	0.31	0.70	0.28	71.20%
CP002688.1	22622740	22623144	22622103	22624699	0.38	0.33	0.53	0.68	100.00%
CP002688.1	22628144	22628428	22628153	22629706	1.00	0.98	0.74	0.39	96.84%
CP002688.1	22635815	22636026	22635818	22635965	0.18	0.12	0.80	0.74	69.81%
CP002688.1	22705280	22705701	22704023	22706134	0.58	0.39	0.62	0.70	100.00%
CP002688.1	22707000	22707122	22706967	22707131	0.34	0.46	0.71	0.55	100.00%
CP002688.1	22845450	22845728	22845453	22845743	0.35	0.22	0.61	0.46	98.92%
CP002688.1	22857774	22857971	22857777	22857998	0.14	0.16	0.72	0.65	98.48%
CP002688.1	23099627	23099743	23099600	23099743	0.11	0.16	0.59	0.56	100.00%
CP002688.1	23176663	23176803	23176666	23176827	0.13	0.14	0.69	0.62	97.87%
CP002688.1	23588038	23588227	23588050	23588227	0.10	0.09	0.60	0.63	93.68%
CP002688.1	24008409	24008649	24008412	24008642	0.15	0.15	0.72	0.73	95.85%
CP002688.1	24021436	24021627	24021265	24022444	0.05	0.90	0.88	0.82	100.00%
CP002688.1	24021873	24022189	24021265	24022444	0.08	0.90	0.76	0.82	100.00%
CP002688.1	24022364	24022465	24021265	24022444	0.42	0.90	1.00	0.82	79.41%
CP002688.1	24023368	24023762	24023371	24023762	0.19	0.19	0.94	0.81	99.24%
CP002688.1	24695332	24695516	24695370	24695543	0.36	0.30	0.63	0.63	79.46%
CP002688.1	25066473	25066640	25066485	25066640	0.21	0.19	0.59	0.62	92.86%
CP002688.1	25260758	25260893	25260761	25260893	0.24	0.23	0.64	0.64	97.79%
CP002688.1	25487048	25487206	25487051	25487206	0.09	0.08	0.62	0.62	98.11%
CP002688.1	25855563	25855751	25855566	25858363	0.68	0.92	0.84	0.86	98.41%
CP002688.1	26584138	26584445	26584151	26584572	0.16	0.18	0.78	0.73	95.78%
CP002688.1	26971239	26973212	26971242	26973212	0.77	0.77	0.40	0.58	99.85%
CP002686.1	900681	900903	900684	900941	0.27	0.31	0.52	0.52	98.65%
CP002686.1	930330	931488	930294	931488	0.98	0.88	0.55	0.56	100.00%
CP002686.1	1013168	1013455	1013171	1013455	0.14	0.14	0.48	0.48	98.96%
CP002686.1	1101405	1101564	1100500	1101564	0.27	0.53	0.78	0.90	100.00%
CP002686.1	1281770	1282533	1281749	1282533	0.87	0.89	0.60	0.59	100.00%
CP002686.1	1284854	1285230	1284857	1285230	0.57	0.56	0.47	0.68	99.20%
CP002686.1	1367849	1367974	1367858	1368001	0.23	0.27	0.52	0.55	92.86%
CP002686.1	2099611	2099907	2099608	2099802	0.12	0.08	0.43	0.56	64.65%
CP002686.1	2189874	2191211	2189679	2192220	0.62	1.00	0.26	0.57	100.00%
CP002686.1	2251341	2251565	2251344	2251565	0.49	0.49	0.51	0.51	98.67%
CP002686.1	2317942	2318430	2317945	2320401	0.88	1.00	0.55	0.62	99.39%
CP002686.1	2318678	2319583	2317945	2320401	0.86	1.00	0.52	0.62	100.00%
CP002686.1	2705495	2706219	2705639	2706219	0.52	0.44	0.61	0.62	80.14%
CP002686.1	2882495	2883773	2882498	2883773	1.00	1.00	0.84	0.82	99.77%
CP002686.1	3121474	3121685	3121263	3121626	0.51	0.29	0.92	0.74	72.17%
CP002686.1	3541922	3542109	3541981	3542109	0.11	0.08	0.56	0.61	68.62%
CP002686.1	3685502	3685647	3685504	3685647	0.14	0.11	0.67	0.59	98.63%
CP002686.1	3872461	3873434	3872428	3873379	1.00	0.34	0.70	0.33	94.35%
CP002686.1	3953338	3953997	3953269	3953997	0.95	0.92	0.73	0.52	100.00%
CP002686.1	4155141	4156046	4155144	4156046	0.76	0.56	0.49	0.65	99.67%
CP002686.1	4165948	4166372	4165951	4166372	0.19	0.18	0.80	0.80	99.29%
CP002686.1	4179166	4179423	4179130	4179411	0.22	0.19	0.57	0.39	95.35%
CP002686.1	4244282	4244666	4244285	4244666	0.72	0.71	0.63	0.73	99.22%
CP002686.1	4454892	4456010	4454895	4456031	0.96	0.70	0.58	0.36	99.73%
CP002686.1	4551172	4551357	4551175	4551357	0.68	0.67	0.71	0.71	98.39%
CP002686.1	4862986	4864965	4862989	4874098	0.55	1.00	0.62	0.75	99.85%
CP002686.1	4869251	4874098	4862989	4874098	1.00	1.00	0.73	0.75	100.00%
CP002686.1	4967646	4969499	4967649	4969562	0.85	0.88	0.33	0.33	99.84%
CP002686.1	5390608	5391744	5390611	5391741	1.00	0.92	0.67	0.55	99.47%
CP002686.1	5570860	5571074	5570845	5571074	0.28	0.30	0.74	0.69	100.00%
CP002686.1	5649007	5649340	5649089	5649373	0.34	0.25	0.65	0.46	75.45%
CP002686.1	5730274	5730372	5730265	5730357	0.21	0.08	0.91	0.69	84.85%
CP002686.1	5855206	5855403	5855143	5855403	0.18	0.20	0.42	0.36	100.00%
CP002686.1	5896204	5897493	5896108	5905996	0.57	0.40	0.29	0.35	100.00%
CP002686.1	5913914	5914036	5913917	5914843	0.10	0.22	0.74	0.81	97.56%
CP002686.1	6126485	6126886	6126419	6126892	0.36	0.34	0.68	0.51	100.00%
CP002686.1	6378493	6378600	6378496	6378600	0.10	0.10	0.97	0.97	97.22%
CP002686.1	6495667	6495900	6495649	6495915	0.42	0.23	0.60	0.32	100.00%
CP002686.1	6739980	6740371	6739914	6740383	0.54	0.49	0.56	0.49	100.00%
CP002686.1	6913803	6914104	6913806	6914143	0.26	0.29	0.68	0.64	99.01%
CP002686.1	7236020	7237087	7235999	7237132	0.99	0.71	0.57	0.35	100.00%
CP002686.1	7279049	7279248	7279052	7279248	0.39	0.38	0.61	0.61	98.50%
CP002686.1	7572232	7572483	7572235	7572480	0.49	0.47	0.69	0.70	97.62%
CP002686.1	7678715	7679271	7678709	7679271	0.40	0.43	0.67	0.57	100.00%
CP002686.1	7802088	7802383	7802091	7802395	0.38	0.40	0.55	0.53	98.99%
CP002686.1	7847652	7847768	7847649	7861432	0.58	0.51	0.67	0.73	100.00%
CP002686.1	7857690	7857806	7847649	7861432	0.58	0.51	0.67	0.73	100.00%
CP002686.1	8518010	8518763	8517977	8518822	0.74	0.47	0.50	0.38	100.00%
CP002686.1	8858607	8861327	8858691	8861249	0.92	0.81	0.50	0.82	94.05%
CP002686.1	8983603	8984617	8983776	8984617	0.97	0.78	0.40	0.37	82.96%
CP002686.1	9023755	9024085	9023758	9024085	0.24	0.24	0.78	0.78	99.09%
CP002686.1	9042378	9043067	9042309	9043067	0.65	0.63	0.49	0.38	100.00%
CP002686.1	9171059	9172204	9171062	9172204	1.00	1.00	0.84	0.84	99.74%
CP002686.1	9435092	9436398	9435140	9444826	0.50	0.89	0.58	0.59	96.33%
CP002686.1	9557457	9557799	9557460	9557799	1.00	0.99	0.74	0.74	99.13%
CP002686.1	9558648	9558785	9558660	9558785	0.08	0.07	0.70	0.74	91.30%
CP002686.1	9570452	9571979	9570420	9571973	1.00	0.97	0.76	0.34	99.61%
CP002686.1	9600413	9600556	9600416	9600556	0.07	0.07	0.67	0.67	97.92%
CP002686.1	9636707	9638348	9636692	9638305	1.00	0.94	0.75	0.34	97.38%
CP002686.1	9847234	9848312	9847237	9848363	0.81	0.71	0.60	0.50	99.72%
CP002686.1	9863103	9863529	9863106	9863822	0.41	0.43	0.81	0.87	99.30%
CP002686.1	9904288	9904684	9904291	9904684	0.99	0.98	0.68	0.68	99.24%
CP002686.1	9992138	9994084	9992084	9994096	0.94	1.00	0.71	0.73	100.00%
CP002686.1	10092862	10093129	10092865	10093041	1.00	0.58	0.61	0.68	66.04%
CP002686.1	10158317	10158628	10158320	10158628	0.79	0.78	0.95	0.95	99.04%
CP002686.1	10172008	10172210	10172079	10172210	0.41	0.25	0.61	0.71	65.02%
CP002686.1	10301119	10302238	10301094	10302128	0.48	0.44	0.73	0.77	90.18%
CP002686.1	10388516	10388904	10388495	10388979	0.65	0.52	0.37	0.33	100.00%
CP002686.1	10478074	10479609	10478183	10479609	0.94	0.87	0.31	0.37	92.90%
CP002686.1	10544489	10544611	10544459	10544704	0.45	0.29	0.51	0.38	100.00%
CP002686.1	10634444	10634878	10634447	10634878	0.67	0.67	0.51	0.51	99.31%
CP002686.1	10697954	10698343	10698039	10700072	0.77	0.83	0.50	0.45	78.21%
CP002686.1	10698939	10700141	10698039	10700072	0.49	0.83	0.44	0.45	94.26%
CP002686.1	10726555	10727331	10726558	10727331	0.90	0.89	0.71	0.73	99.61%
CP002686.1	10767631	10768059	10767472	10769085	0.95	0.95	0.60	0.32	100.00%
CP002686.1	10772269	10772562	10772233	10772565	0.27	0.36	0.33	0.31	100.00%
CP002686.1	10884545	10885285	10884734	10889834	0.75	0.57	0.42	0.50	74.49%
CP002686.1	10885326	10886834	10884734	10889834	0.73	0.57	0.48	0.50	100.00%
CP002686.1	10887560	10887862	10884734	10889834	0.22	0.57	0.53	0.50	100.00%
CP002686.1	10943161	10943350	10943200	10943350	0.14	0.11	0.73	0.72	79.47%
CP002686.1	10965368	10965534	10965371	10965534	0.60	0.59	0.68	0.68	98.20%
CP002686.1	10995488	10996165	10995491	10996183	0.66	0.67	0.46	0.54	99.56%
CP002686.1	11027795	11028197	11027810	11028197	0.68	0.65	0.55	0.55	96.28%
CP002686.1	11065652	11066467	11065652	11067207	0.78	0.98	0.39	0.38	100.00%
CP002686.1	11067673	11068865	11067682	11068865	0.63	0.63	0.33	0.33	99.25%
CP002686.1	11108151	11109218	11108151	11109218	0.90	0.90	0.48	0.48	100.00%
CP002686.1	11170637	11171392	11170724	11172202	0.38	0.88	0.64	0.32	88.49%
CP002686.1	11198685	11198978	11198658	11199023	0.41	0.42	0.66	0.31	100.00%
CP002686.1	11230164	11230807	11230236	11231314	0.85	0.77	0.60	0.41	88.82%
CP002686.1	11231012	11231080	11230236	11231314	0.16	0.77	0.65	0.41	100.00%
CP002686.1	11306761	11306978	11306764	11310778	0.25	0.25	0.72	0.72	98.62%
CP002686.1	11310555	11310769	11306764	11310778	0.24	0.25	0.74	0.72	100.00%
CP002686.1	11342094	11342249	11342005	11342235	0.30	0.60	0.58	0.42	91.03%
CP002686.1	11350570	11350870	11350337	11351590	0.84	0.92	0.79	0.65	100.00%
CP002686.1	11350967	11351590	11350337	11351590	1.00	0.92	0.79	0.65	100.00%
CP002686.1	11358920	11359187	11358923	11359187	0.53	0.52	0.89	0.89	98.88%
CP002686.1	11412731	11413158	11410576	11413144	0.62	0.92	0.82	0.81	96.73%
CP002686.1	11477472	11477615	11477372	11477634	0.26	0.22	0.88	0.60	100.00%
CP002686.1	11554671	11555972	11554635	11555972	0.97	1.00	0.74	0.58	100.00%
CP002686.1	11557460	11558743	11557418	11558743	0.46	0.48	0.50	0.52	100.00%
CP002686.1	11558976	11560181	11558880	11560358	0.50	0.98	0.54	0.51	100.00%
CP002686.1	11585948	11586184	11580586	11586178	0.13	0.41	0.62	0.76	97.47%
CP002686.1	11593199	11593426	11593202	11601921	0.11	0.18	0.84	0.74	98.68%
CP002686.1	11602052	11603827	11602055	11603827	0.59	0.59	0.82	0.82	99.83%
CP002686.1	11604209	11605175	11604158	11604938	0.42	0.40	0.34	0.30	75.49%
CP002686.1	11611250	11611576	11611253	11611576	1.00	0.99	0.92	0.92	99.08%
CP002686.1	11628695	11629033	11627462	11629041	0.96	1.00	0.59	0.52	100.00%
CP002686.1	11663904	11663999	11663057	11670477	0.55	0.98	0.88	0.63	100.00%
CP002686.1	11713319	11713789	11713418	11713789	0.19	0.14	0.62	0.74	78.98%
CP002686.1	11719251	11719505	11719137	11719505	0.07	0.26	0.63	0.43	100.00%
CP002686.1	11747054	11747780	11746728	11747735	0.80	0.83	0.56	0.80	93.81%
CP002686.1	11752005	11756485	11752008	11756485	1.00	1.00	0.78	0.73	99.93%
CP002686.1	11758661	11758998	11758643	11758998	0.17	0.19	0.93	0.88	100.00%
CP002686.1	11849899	11850126	11849899	11850162	0.40	0.17	0.54	0.52	100.00%
CP002686.1	11861008	11861136	11861011	11861581	0.28	0.56	0.79	0.79	97.67%
CP002686.1	11861245	11861647	11861011	11861581	0.63	0.56	0.89	0.79	83.62%
CP002686.1	11877044	11877481	11877047	11877502	1.00	0.94	0.82	0.80	99.32%
CP002686.1	11896377	11897354	11896438	11897354	1.00	0.90	0.74	0.72	93.76%
CP002686.1	11915863	11916781	11915845	11916793	0.40	0.42	0.51	0.50	100.00%
CP002686.1	12044277	12045794	12044259	12045675	0.26	0.23	0.61	0.70	92.16%
CP002686.1	12046753	12047276	12046756	12047156	0.63	0.36	0.55	0.67	76.53%
CP002686.1	12047641	12047763	12047644	12047856	0.43	0.74	0.66	0.44	97.56%
CP002686.1	12073836	12074123	12073700	12076891	0.50	0.26	0.73	0.87	100.00%
CP002686.1	12076645	12076932	12073700	12076891	0.50	0.26	0.70	0.87	85.76%
CP002686.1	12093642	12094209	12093615	12094195	0.43	0.71	0.41	0.33	97.54%
CP002686.1	12142094	12142267	12142097	12144790	0.14	1.00	0.81	0.79	98.28%
CP002686.1	12236019	12237072	12235914	12254284	0.46	0.38	0.50	0.55	100.00%
CP002686.1	12299386	12299687	12299389	12301347	0.83	0.99	0.63	0.59	99.01%
CP002686.1	12300958	12301347	12299389	12301347	1.00	0.99	0.94	0.59	100.00%
CP002686.1	12318244	12318399	12318247	12318399	0.13	0.13	0.79	0.79	98.08%
CP002686.1	12355867	12356284	12355511	12356124	0.88	0.38	0.40	0.43	61.72%
CP002686.1	12359829	12359975	12359835	12360242	0.73	0.44	0.41	0.28	95.92%
CP002686.1	12361754	12369772	12364114	12370824	0.99	0.87	0.79	0.70	70.57%
CP002686.1	12364111	12364230	12364114	12370824	0.60	0.87	0.78	0.70	97.50%
CP002686.1	12474140	12474494	12474143	12474494	0.23	0.23	0.84	0.83	99.15%
CP002686.1	12474654	12474755	12474657	12474755	0.05	0.05	0.91	0.77	97.06%
CP002686.1	12489619	12491420	12489954	12491420	0.71	0.60	0.46	0.59	81.41%
CP002686.1	12502459	12511588	12502462	12511588	0.40	0.39	0.74	0.65	99.97%
CP002686.1	12503886	12504853	12502462	12511588	0.64	0.39	0.56	0.65	100.00%
CP002686.1	12507892	12508032	12502462	12511588	0.08	0.39	0.68	0.65	100.00%
CP002686.1	12634413	12635291	12634428	12636034	0.96	0.96	0.35	0.29	98.29%
CP002686.1	12640785	12641706	12640602	12641617	0.95	0.85	0.68	0.30	90.35%
CP002686.1	12648382	12649250	12648385	12649250	0.89	0.89	0.88	0.88	99.65%
CP002686.1	12649711	12653540	12649714	12655898	0.36	0.96	0.52	0.45	99.92%
CP002686.1	12662601	12670958	12662604	12670958	0.55	0.55	0.91	0.81	99.96%
CP002686.1	12725740	12725934	12725737	12725937	0.19	0.19	0.52	0.46	100.00%
CP002686.1	12780984	12781291	12780987	12782863	0.40	0.93	0.84	0.85	99.03%
CP002686.1	12784203	12786769	12784206	12786769	1.00	1.00	0.92	0.53	99.88%
CP002686.1	12787936	12788340	12787951	12789633	0.98	1.00	0.73	0.33	96.30%
CP002686.1	12879070	12879383	12871212	12881994	0.43	0.95	0.63	0.64	100.00%
CP002686.1	12880317	12881037	12871212	12881994	0.65	0.95	0.43	0.64	100.00%
CP002686.1	12902884	12903180	12902481	12903180	0.12	0.09	0.46	0.80	100.00%
CP002686.1	12903192	12903896	12903369	12903905	0.30	0.25	0.78	0.78	74.89%
CP002686.1	12913733	12914713	12913236	12918386	1.00	0.71	0.74	0.47	100.00%
CP002686.1	12916290	12916443	12913236	12918386	0.35	0.71	0.69	0.47	100.00%
CP002686.1	13017170	13017521	13017173	13017521	0.77	0.77	0.92	0.92	99.15%
CP002686.1	13031218	13031653	13031188	13031653	0.12	0.14	0.64	0.60	100.00%
CP002686.1	13044125	13044664	13044128	13044664	0.49	0.49	0.54	0.54	99.44%
CP002686.1	13053145	13053924	13053205	13054846	0.97	0.96	0.47	0.35	92.31%
CP002686.1	13138760	13139057	13138763	13139057	0.40	0.39	0.86	0.86	98.99%
CP002686.1	13161696	13162129	13161699	13162129	1.00	0.99	0.64	0.67	99.31%
CP002686.1	13170836	13172446	13170806	13172634	0.60	0.60	0.81	0.83	100.00%
CP002686.1	13265492	13265805	13265495	13265805	0.43	0.42	0.61	0.61	99.04%
CP002686.1	13267532	13268109	13267587	13276078	0.34	0.44	0.60	0.73	90.48%
CP002686.1	13282370	13283887	13282349	13283887	0.91	0.92	0.29	0.30	100.00%
CP002686.1	13291269	13291582	13291272	13291582	0.43	0.46	0.60	0.52	99.04%
CP002686.1	13293322	13293899	13293377	13294113	0.34	0.64	0.61	0.60	90.48%
CP002686.1	13311829	13312525	13304500	13325162	0.35	1.00	0.39	0.71	100.00%
CP002686.1	13312579	13313245	13304500	13325162	0.28	1.00	0.81	0.71	100.00%
CP002686.1	13316345	13316941	13304500	13325162	0.63	1.00	0.75	0.71	100.00%
CP002686.1	13393588	13393905	13393579	13393905	0.76	0.78	0.70	0.68	100.00%
CP002686.1	13449934	13450867	13449702	13450696	0.98	0.86	0.74	0.29	81.69%
CP002686.1	13467712	13468545	13467709	13469340	0.80	0.97	0.52	0.34	100.00%
CP002686.1	13472535	13473407	13472850	13473401	0.83	0.56	0.27	0.29	63.23%
CP002686.1	13534237	13534471	13534189	13536586	0.24	0.99	0.57	0.83	100.00%
CP002686.1	13534539	13535526	13534189	13536586	1.00	0.99	0.67	0.83	100.00%
CP002686.1	13535926	13536036	13534189	13536586	0.24	0.99	0.84	0.83	100.00%
CP002686.1	13537108	13537851	13537111	13537851	1.00	1.00	0.92	0.92	99.60%
CP002686.1	13538067	13538776	13538070	13538776	1.00	1.00	0.91	0.91	99.58%
CP002686.1	13538994	13541507	13538997	13541507	0.61	0.61	0.90	0.89	99.88%
CP002686.1	13549056	13549336	13549059	13555921	0.56	0.95	0.72	0.78	98.93%
CP002686.1	13555346	13555921	13549059	13555921	0.93	0.95	0.74	0.78	100.00%
CP002686.1	13585545	13585794	13585548	13585776	0.50	0.43	0.73	0.73	91.60%
CP002686.1	13659587	13660044	13657654	13662613	0.77	0.95	0.80	0.80	100.00%
CP002686.1	13662150	13662613	13657654	13662613	0.77	0.95	0.77	0.80	100.00%
CP002686.1	13801321	13801867	13801294	13808646	0.90	0.95	0.82	0.85	100.00%
CP002686.1	13841718	13842324	13841721	13842324	0.41	0.40	0.89	0.89	99.51%
CP002686.1	13842321	13842586	13842324	13842586	0.38	0.38	0.65	0.65	98.87%
CP002686.1	13989361	13989860	13989358	13989962	0.31	0.65	0.54	0.66	100.00%
CP002686.1	14036248	14036409	14036251	14036409	0.37	0.36	0.76	0.76	98.15%
CP002686.1	14128215	14128786	14128218	14128822	0.40	0.43	0.72	0.69	99.48%
CP002686.1	14227691	14228307	14227580	14228307	0.56	0.60	0.60	0.59	100.00%
CP002686.1	14245564	14247295	14245332	14255519	0.33	0.51	0.48	0.65	100.00%
CP002686.1	14290250	14291018	14290322	14291696	0.99	0.82	0.50	0.29	90.64%
CP002686.1	14319409	14319762	14319412	14319762	0.15	0.15	0.88	0.88	99.15%
CP002686.1	14491025	14492843	14489932	14494377	0.23	0.59	0.81	0.66	100.00%
CP002686.1	14594356	14594754	14594359	14594754	0.88	0.87	0.90	0.88	99.25%
CP002686.1	14595635	14596144	14595638	14597437	0.27	0.93	0.79	0.77	99.41%
CP002686.1	14777578	14777753	14776232	14781340	0.53	0.71	0.72	0.25	100.00%
CP002686.1	14778378	14779088	14776232	14781340	0.53	0.71	0.75	0.25	100.00%
CP002686.1	14779416	14779979	14776232	14781340	0.22	0.71	0.69	0.25	100.00%
CP002686.1	14785965	14787037	14785947	14787064	0.48	0.50	0.46	0.42	100.00%
CP002686.1	14884214	14886364	14884211	14886364	0.93	0.93	0.52	0.56	100.00%
CP002686.1	14887068	14887687	14887071	14887717	0.79	0.82	0.35	0.35	99.52%
CP002686.1	14976835	14977089	14974139	14977890	0.53	0.97	0.64	0.61	100.00%
CP002686.1	15079234	15079444	15079237	15079415	0.16	0.13	0.87	0.87	84.83%
CP002686.1	15080388	15080507	15080391	15080507	0.07	0.07	0.78	0.78	97.50%
CP002686.1	15087828	15088589	15087819	15088540	0.69	0.64	0.51	0.47	93.57%
CP002686.1	15096437	15097248	15096347	15098264	0.70	0.76	0.49	0.62	100.00%
CP002686.1	15097255	15098276	15096347	15098264	0.46	0.76	0.56	0.62	98.83%
CP002686.1	15170049	15171022	15170052	15170857	1.00	0.86	0.70	0.67	82.75%
CP002686.1	15185769	15186570	15185772	15186479	1.00	0.89	0.55	0.57	88.28%
CP002686.1	15217858	15218346	15217861	15218346	0.45	0.45	0.72	0.78	99.39%
CP002686.1	15266408	15268166	15265980	15268085	1.00	0.60	0.79	0.42	95.40%
CP002686.1	15268211	15268370	15268241	15268370	1.00	0.81	0.70	0.70	81.25%
CP002686.1	15292476	15292631	15292495	15292674	0.10	0.98	0.89	0.90	87.82%
CP002686.1	15336474	15337001	15336477	15347808	0.36	0.77	0.47	0.63	99.43%
CP002686.1	15342116	15343356	15336477	15347808	0.43	0.77	0.58	0.63	100.00%
CP002686.1	15347475	15347808	15336477	15347808	0.23	0.77	0.85	0.63	100.00%
CP002686.1	15403887	15404863	15403890	15405378	0.70	0.98	0.58	0.66	99.69%
CP002686.1	15440737	15441156	15440581	15442188	0.93	0.95	0.60	0.36	100.00%
CP002686.1	15444066	15444893	15444042	15444983	0.46	0.52	0.25	0.25	100.00%
CP002686.1	15446251	15446807	15446373	15446897	0.48	0.52	0.34	0.25	78.10%
CP002686.1	15478246	15478470	15477618	15484014	0.49	0.99	0.60	0.57	100.00%
CP002686.1	15479211	15479622	15477618	15484014	0.59	0.99	0.79	0.57	100.00%
CP002686.1	15493640	15494446	15493667	15495202	0.89	0.92	0.39	0.31	96.65%
CP002686.1	15532067	15533153	15528933	15537246	1.00	0.67	0.72	0.29	100.00%
CP002686.1	15533739	15535241	15528933	15537246	0.90	0.67	0.35	0.29	100.00%
CP002686.1	15538271	15538582	15538157	15538537	0.29	0.24	0.38	0.29	85.58%
CP002686.1	15570446	15571144	15570449	15571144	0.66	0.65	0.59	0.59	99.57%
CP002686.1	15607092	15607583	15607170	15607616	0.44	0.32	0.39	0.25	84.15%
CP002686.1	15668794	15669623	15668797	15669647	0.32	0.32	0.69	0.64	99.64%
CP002686.1	15675560	15675852	15675293	15675897	0.20	0.59	0.55	0.57	100.00%
CP002686.1	15795277	15795788	15795414	15795839	0.38	0.33	0.46	0.45	73.24%
CP002686.1	15861471	15863182	15861474	15865930	1.00	1.00	0.66	0.70	99.82%
CP002686.1	15918905	15924536	15918908	15924536	0.64	0.64	0.91	0.90	99.95%
CP002686.1	15936260	15936495	15936263	15936495	0.10	0.10	0.91	0.91	98.73%
CP002686.1	15956884	15957087	15956887	15957123	0.09	0.10	0.77	0.68	98.53%
CP002686.1	15965751	15966251	15965754	15966257	1.00	0.99	0.81	0.50	99.40%
CP002686.1	15997465	15997779	15997230	15998569	0.79	0.98	0.40	0.42	100.00%
CP002686.1	16038214	16038466	16038275	16038532	0.20	0.22	0.58	0.42	75.89%
CP002686.1	16056978	16057214	16055824	16060379	0.30	0.45	0.89	0.82	100.00%
CP002686.1	16084661	16084774	16084664	16084789	0.20	0.22	0.74	0.67	97.37%
CP002686.1	16162657	16163049	16162657	16162986	0.69	0.72	0.61	0.54	83.97%
CP002686.1	16264437	16264931	16264449	16264908	0.74	0.49	0.56	0.59	92.93%
CP002686.1	16439003	16439398	16438967	16439410	0.14	0.32	0.44	0.37	100.00%
CP002686.1	16503299	16504027	16503311	16504027	0.81	0.79	0.53	0.54	98.35%
CP002686.1	16587515	16587763	16587518	16587751	0.27	0.26	0.57	0.56	93.98%
CP002686.1	16681265	16681450	16681262	16681468	0.29	0.33	0.61	0.54	100.00%
CP002686.1	16705704	16705964	16705707	16705982	0.17	0.18	0.69	0.66	98.85%
CP002686.1	16709040	16709495	16709121	16710746	0.89	0.95	0.66	0.32	82.24%
CP002686.1	16714797	16714954	16714820	16714983	0.25	0.16	0.57	0.57	85.44%
